id,score,ratings,name
522,4.5,14.0,Chick-fil-A  (2000 Riverchase Galleria Ste 1)
525,4.5,12.0,Taco Bell (5192 Caldwell Mill Rd)
526,4.7,57.0,Chick-fil-A (320 Cahaba Valley Rd)
527,4.4,16.0,Bojangles (485 Southland Drive)
528,4.9,43.0,Jersey Mike’s Subs (1851 Montgomery Highway)
529,4.3,12.0,Dairy Queen Grill &amp; Chill (780 Colonial Promenade Pkwy)
532,4.4,58.0,McDonald's® (1731 MONTGOMERY HWY)
536,4.5,13.0,The Burger Den (2190 Ross Clark Circle)
539,4.3,26.0,Panda Express (3777 Montgomery Hwy)
546,4.7,39.0,Taco Bell (1087 Ross Clark Circle)
548,4.7,12.0,"Krispy Kreme (3095 Ross Clark Circle, 84 West)"
549,4.3,37.0,"Moe's Southwest Grill  (4521 Montgomery Hwy., Suite #5)"
550,4.0,24.0,Papa Johns (3312 West Main Street)
552,4.1,14.0,Wild Burger (3400 Montgomery Hwy.)
553,4.7,50.0,Firehouse Subs (3850 W. Main Street Unit 806)
554,4.6,16.0,McAlister's Deli (3106 Ross Clark Circle)
555,4.4,50.0,Super Canton
556,3.9,16.0,"Captain D's (2236 Ross Clark Circle, SW)"
577,4.9,14.0,Bird And Bean Coffee House
578,4.8,18.0,Papa Johns (2004 Ross Clark Circle)
588,4.6,39.0,Jersey Mike's Subs (104 Rock Bridge Rd)
594,4.6,21.0,Dairy Queen Grill &amp; Chill (3131 Ross Clark Cir NW)
596,4.0,26.0,Golden Corral (3340 Ross Clark Circle)
599,4.3,48.0,Chili's (3083 Montgomery Highway)
600,4.1,48.0,Denny's (2190 Ross Clark Circle)
603,4.7,19.0,Red Lobster (3116 Montgomery Hwy)
604,4.2,20.0,Sonic (4332 Montgomery Highway)*
605,3.8,10.0,Checkers (3107 Montgomery Hwy.)
606,4.2,47.0,O'Charley's (3320 Montgomery Hwy)
607,4.0,50.0,Buffalo Wild Wings (3400 Montgomery Hwy)
608,4.9,44.0,Five Guys AL-1243 4650 W. Main St.
609,4.3,33.0,Zaxby's (3801 Montgomery Hwy)
610,4.4,50.0,American Deli
612,3.5,11.0,Chicken N' Biscuits by Cracker Barrel (3431 Ross Clark Circle)
613,4.2,50.0,Outback Steakhouse (2925 Ross Clark Circle)
614,4.3,31.0,Fazoli's (3421 Ross Clark Circle)
615,4.7,50.0,Metro Diner (Dothan)
616,5.0,16.0,"Tropical Smoothie Cafe - 3230 Ross Clark Circle, Suite 3"
623,3.9,19.0,KFC (109 Ross Clark Cir)
624,4.9,50.0,"Chicken Salad Chick (0009 - Dothan, AL)"
625,4.3,50.0,Applebee's (Dothan)
626,3.9,50.0,"TGI Friday's (2082 - Dothan, AL)"
627,4.1,17.0,Taco Bell  (3927 Montgomery Hwy)
629,3.7,20.0,Captain D's (3395 Ross Clark Circle)
630,4.6,24.0,Zaxby's (3850 W. MAIN STREET)
631,4.1,31.0,KFC (1801 Ross Clark Cir)
633,5.0,11.0,Firehouse Subs (3255 South Oates Street. Suite 8)
634,3.0,14.0,Sonic (1067 Ross Clark Circle South)*
635,4.3,49.0,Dreamland BBQ (Huntsville)
637,4.5,100.0,Sitar Indian Cuisine
638,3.9,15.0,Sunny Street Cafe (Madison)
639,4.8,13.0,Vegan Bowl Factory
642,4.4,18.0,Papa Johns (1924 B Winchester Rd Ne)
646,4.8,52.0,Zoe's Kitchen (6275 University Drive Ste. 19A)
654,3.9,10.0,McDonald's (11895 Highway 231-431 North)
659,4.2,21.0,Buster's American Kitchen (Huntsville)
661,4.5,38.0,Dave &amp; Buster's (Huntsville)
663,4.4,41.0,Jason's Deli (1395 Enterprise Way Nw)
664,4.3,74.0,Red Lobster (1818 University Dr. NW)
665,4.4,89.0,"Steak 'n Shake (5901 University Drive, Suite I)"
666,4.5,37.0,Jersey Mike's Subs (6290 University Dr)
669,4.6,11.0,Ruth's Chris Steak House (720 Gallatin St SW)
670,4.2,51.0,Captain D's (4953 University Drive NW)
674,4.7,24.0,Zaxby's (2181 Winchester Road)
675,4.8,100.0,Five Guys AL-1535 1221-A N Memorial Pkwy
677,4.5,15.0,Arby's (30 Shields Rd)
678,4.5,100.0,IHOP (6151 University Drive Nw)
679,3.4,21.0,Hootie's Bait &amp; Tackle (4729 NW University)
681,3.8,72.0,Hooters (Huntsville)
682,4.3,18.0,Bojangles' Famous Chicken &amp; Biscuits 1121 (5015 North Memorial Pkwy)
683,4.2,99.0,Applebee's (N. Memorial Pkwy.)
684,3.6,20.0,Krystal (970 Old Monrovia Rd)
685,4.3,100.0,Logan's Roadhouse 403 (6226 University Drive Northwest)
689,4.5,100.0,Chipotle Mexican Grill (5900 University Dr Nw Ste D2)
691,4.3,19.0,"KFC (1690 Highway 72, E.)"
695,4.7,32.0,Pieology Pizzeria (365 The Bridge St Ste 101)
697,4.6,68.0,Panda Express (8598 Hwy 72 West)
